device_id,t_start,t_end,duration_s,is_moving,label_operacional,confidence,evidence,accel_mean,accel_std,accel_rms,accel_p95,accel_p99,peak_count,peak_height_mean,peak_interval_mean,pitch_delta,roll_delta,voltage_mean
TRK-101,2025-12-12 14:34:12.140000+00:00,2025-12-12 14:36:31.139000+00:00,138.999,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.02509308181257143,0.06263294579424912,0.06726461209398614,0.10514412145,0.327902860899998,0.0,0.0,,5.6895784,2.0367184,4440.964285714285
TRK-101,2025-12-12 14:53:47.140000+00:00,2025-12-12 14:54:50.139000+00:00,62.999,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.08923624926718751,0.1534543259443926,0.1764749195727636,0.29409046599999983,0.6700275449999985,1.0,1.0446498,,8.344992,3.16738836,4429.0
TRK-101,2025-12-12 14:58:53.139000+00:00,2025-12-12 15:54:06.139000+00:00,3313.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.0018514634931080264,0.010468353273868568,0.010629264772973589,0.0029672349999999973,0.0072690631689999625,0.0,0.0,,2.838443,1.770940314,4428.0515992758
TRK-101,2025-12-12 15:55:50.140000+00:00,2025-12-12 15:56:01.140000+00:00,11.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.27506863048333335,0.2743332965543202,0.3803287340461413,0.6815329519999999,0.7678919984000001,1.0,0.50533974,,6.215452000000001,3.216382353,4427.0
TRK-101,2025-12-12 16:02:54.140000+00:00,2025-12-12 16:08:10.140000+00:00,316.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.006057893997854889,0.020629360554672814,0.02146918961767746,0.009023188799999998,0.11380777535999938,0.0,0.0,,1.2217019999999987,0.5804341,4427.0
TRK-101,2025-12-12 16:08:55.140000+00:00,2025-12-12 16:09:07.140000+00:00,12.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.02940939203846154,0.039104163263395254,0.04771186550961468,0.10774084999999999,0.11325964999999999,0.0,0.0,,2.2402409999999993,0.255046,4427.0
TRK-101,2025-12-12 16:10:09.140000+00:00,2025-12-12 16:11:39.140000+00:00,90.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.015315559463516485,0.07583334945632338,0.07695497891708679,0.024616778,0.24483400999999722,1.0,0.68595713,,5.031929999999997,1.8947667300000002,4426.736263736264
TRK-101,2025-12-12 16:12:19.139000+00:00,2025-12-12 16:12:55.139000+00:00,36.0,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.12562306586486485,0.14132404601478013,0.18765352045949946,0.362445554,0.4893124420000001,1.0,0.55822897,,6.602888999999999,7.7268144,4426.72972972973
TRK-101,2025-12-12 16:13:11.139000+00:00,2025-12-12 16:18:07.139000+00:00,296.0,False,BASCULANDO,0.621521127,pitch_delta=12.15deg + andadinha curta mesclada,,,,,,,,,,,
TRK-101,2025-12-12 16:35:33.139000+00:00,2025-12-12 16:36:27.140000+00:00,54.001,False,DESCONHECIDO,0.0,nenhuma regra atingiu threshold,0.04696687684727272,0.08678653638849128,0.09798391056718242,0.0889909962,0.4347523050000003,0.0,0.0,,3.024108,1.16355018,4427.0
