ciclo,carga_area,carga_inicio,carga_fim,carga_duracao_sec,desloc_carregado_sec,desloc_carregado_km,basculamento_area,basculamento_inicio,basculamento_fim,basculamento_duracao_sec,desloc_vazio_sec,desloc_vazio_km,ciclo_total_sec
30,PAIOL,2025-12-13T02:31:49-03:00,2025-12-13T02:36:15-03:00,266,629,2.0,BF - Paiol,2025-12-13T02:46:44-03:00,2025-12-13T02:48:10-03:00,82,323,1.99,1300
31,PAIOL,2025-12-13T02:53:33-03:00,2025-12-13T02:59:01-03:00,328,597,2.03,BF - Paiol,2025-12-13T03:08:58-03:00,2025-12-13T03:10:24-03:00,81,386,2.04,1392
32,PAIOL,2025-12-13T03:16:50-03:00,2025-12-13T03:21:03-03:00,253,1682,2.05,BF - Paiol,2025-12-13T03:49:05-03:00,2025-12-13T03:50:33-03:00,82,283,1.99,2300
33,PAIOL,2025-12-13T03:55:16-03:00,2025-12-13T04:01:42-03:00,386,571,2.02,BF - Paiol,2025-12-13T04:11:13-03:00,2025-12-13T04:13:22-03:00,123,316,1.97,1396
34,PAIOL,2025-12-13T04:18:38-03:00,2025-12-13T04:27:02-03:00,504,563,2.03,BF - Paiol,2025-12-13T04:36:25-03:00,2025-12-13T04:38:13-03:00,104,416,2.05,1587
35,PAIOL,2025-12-13T04:45:09-03:00,2025-12-13T04:50:16-03:00,307,553,2.01,BF - Paiol,2025-12-13T04:59:29-03:00,2025-12-13T05:04:41-03:00,305,577,2.05,1742
36,PAIOL,2025-12-13T05:14:18-03:00,2025-12-13T05:17:56-03:00,218,536,2.02,BF - Paiol,2025-12-13T05:26:52-03:00,2025-12-13T05:28:05-03:00,70,328,2.06,1152
37,PAIOL,2025-12-13T05:33:33-03:00,2025-12-13T05:38:05-03:00,272,554,2.0,BF - Paiol,2025-12-13T05:47:19-03:00,2025-12-13T05:48:36-03:00,72,318,2.02,1216
38,PAIOL,2025-12-13T05:53:54-03:00,2025-12-13T05:56:36-03:00,162,557,2.04,BF - Paiol,2025-12-13T06:05:53-03:00,2025-12-13T06:07:02-03:00,64,304,2.04,1087
39,PAIOL,2025-12-13T06:12:06-03:00,2025-12-13T06:14:29-03:00,143,601,2.22,BF - Paiol,2025-12-13T06:24:30-03:00,2025-12-13T06:25:34-03:00,63,336,2.12,1143
40,PAIOL,2025-12-13T06:31:10-03:00,2025-12-13T06:35:57-03:00,287,610,2.08,BF - Paiol,2025-12-13T06:46:07-03:00,2025-12-13T06:54:14-03:00,482,1841,3.07,3220
41,PAIOL,2025-12-13T07:24:55-03:00,2025-12-13T07:27:06-03:00,131,649,2.11,BF - Paiol,2025-12-13T07:37:55-03:00,2025-12-13T07:38:58-03:00,58,373,2.11,1211
42,PAIOL,2025-12-13T07:45:11-03:00,2025-12-13T07:48:40-03:00,209,631,2.05,BF - Paiol,2025-12-13T07:59:11-03:00,2025-12-13T08:00:38-03:00,86,1414,2.07,2340
43,PAIOL,2025-12-13T08:24:12-03:00,2025-12-13T08:27:28-03:00,196,670,2.13,BF - Paiol,2025-12-13T08:38:38-03:00,2025-12-13T08:40:03-03:00,85,391,2.07,1342
44,PAIOL,2025-12-13T08:46:34-03:00,2025-12-13T08:53:29-03:00,415,560,1.89,BF - Paiol,2025-12-13T09:02:49-03:00,2025-12-13T09:09:20-03:00,387,2078,4.83,3440
45,PAIOL,2025-12-13T09:43:58-03:00,2025-12-13T09:49:55-03:00,357,1296,2.78,BF - Paiol,2025-12-13T10:11:31-03:00,2025-12-13T10:15:28-03:00,236,3003,3.71,4892
46,PAIOL,2025-12-13T11:05:31-03:00,2025-12-13T11:23:21-03:00,1070,1038,2.62,BF - Paiol,2025-12-13T11:40:39-03:00,2025-12-13T11:48:09-03:00,434,593,0.3,3135
