cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
10,espera_carregamento,2025-12-12T18:38:53-03:00,2025-12-12T18:39:56-03:00,64,-11.699119,-47.157199,"-11.699,-47.157",1
10,carregamento,2025-12-12T18:40:16-03:00,2025-12-12T18:43:12-03:00,177,-11.699031,-47.157352,"-11.699,-47.157",1
10,basculamento,2025-12-12T18:53:41-03:00,2025-12-12T18:54:00-03:00,20,-11.692611,-47.165187,"-11.693,-47.165",1
10,basculamento,2025-12-12T18:54:03-03:00,2025-12-12T18:54:49-03:00,47,-11.692616,-47.165186,"-11.693,-47.165",1
11,espera_carregamento,2025-12-12T19:31:20-03:00,2025-12-12T19:31:58-03:00,39,-11.699071,-47.157223,"-11.699,-47.157",1
11,carregamento,2025-12-12T19:32:33-03:00,2025-12-12T19:35:21-03:00,169,-11.699027,-47.157382,"-11.699,-47.157",1
11,basculamento,2025-12-12T19:45:28-03:00,2025-12-12T19:45:37-03:00,10,-11.692704,-47.165190,"-11.693,-47.165",1
11,espera_basculamento,2025-12-12T19:46:11-03:00,2025-12-12T19:46:44-03:00,34,-11.692690,-47.165344,"-11.693,-47.165",1
11,espera_basculamento,2025-12-12T19:46:59-03:00,2025-12-12T19:47:19-03:00,21,-11.692716,-47.165282,"-11.693,-47.165",1
12,carregamento,2025-12-12T19:53:04-03:00,2025-12-12T19:55:00-03:00,117,-11.699014,-47.157425,"-11.699,-47.157",1
12,espera_basculamento,2025-12-12T20:04:26-03:00,2025-12-12T20:05:08-03:00,43,-11.692797,-47.165388,"-11.693,-47.165",1
12,espera_basculamento,2025-12-12T20:05:22-03:00,2025-12-12T20:05:38-03:00,17,-11.692759,-47.165341,"-11.693,-47.165",1
12,basculamento,2025-12-12T20:06:00-03:00,2025-12-12T20:06:10-03:00,11,-11.692774,-47.165146,"-11.693,-47.165",1
13,carregamento,2025-12-12T20:11:48-03:00,2025-12-12T20:14:21-03:00,154,-11.699067,-47.157442,"-11.699,-47.157",1
13,basculamento,2025-12-12T20:25:07-03:00,2025-12-12T20:25:39-03:00,33,-11.692777,-47.165388,"-11.693,-47.165",1
13,basculamento,2025-12-12T20:25:50-03:00,2025-12-12T20:26:05-03:00,16,-11.692779,-47.165344,"-11.693,-47.165",1
14,carregamento,2025-12-12T20:32:12-03:00,2025-12-12T20:35:30-03:00,199,-11.699055,-47.157445,"-11.699,-47.157",1
14,espera_basculamento,2025-12-12T20:45:29-03:00,2025-12-12T20:46:08-03:00,40,-11.692874,-47.165427,"-11.693,-47.165",1
14,basculamento,2025-12-12T20:46:14-03:00,2025-12-12T20:46:28-03:00,15,-11.692833,-47.165390,"-11.693,-47.165",1
15,carregamento,2025-12-12T20:52:48-03:00,2025-12-12T20:57:51-03:00,278,-11.698985,-47.157301,"-11.699,-47.157",1
15,espera_carregamento,2025-12-12T20:55:07-03:00,2025-12-12T20:57:51-03:00,165,-11.698979,-47.157356,"-11.699,-47.157",1
15,basculamento,2025-12-12T21:08:38-03:00,2025-12-12T21:09:25-03:00,48,-11.692735,-47.165040,"-11.693,-47.165",1
15,basculamento,2025-12-12T21:09:32-03:00,2025-12-12T21:09:48-03:00,17,-11.692758,-47.165076,"-11.693,-47.165",1
16,espera_carregamento,2025-12-12T21:16:27-03:00,2025-12-12T21:18:58-03:00,152,-11.699030,-47.157177,"-11.699,-47.157",1
16,carregamento,2025-12-12T21:19:39-03:00,2025-12-12T21:22:52-03:00,194,-11.698929,-47.157380,"-11.699,-47.157",1
16,basculamento,2025-12-12T21:35:10-03:00,2025-12-12T21:35:59-03:00,50,-11.692766,-47.164591,"-11.693,-47.165",1
16,basculamento,2025-12-12T21:36:03-03:00,2025-12-12T21:36:21-03:00,19,-11.692791,-47.164561,"-11.693,-47.165",1
17,espera_carregamento,2025-12-12T21:47:47-03:00,2025-12-12T21:48:33-03:00,47,-11.699143,-47.157187,"-11.699,-47.157",1
