cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
,espera_carregamento,2025-12-13T09:48:03-03:00,2025-12-13T09:48:53-03:00,52,-11.698401,-47.155378,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:50:59-03:00,2025-12-13T09:51:32-03:00,34,-11.698188,-47.155008,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T09:52:23-03:00,2025-12-13T09:53:01-03:00,39,-11.698832,-47.155275,"-11.699,-47.155",1
,espera_carregamento,2025-12-13T11:03:39-03:00,2025-12-13T11:04:04-03:00,26,-11.700213,-47.155386,"-11.700,-47.155",1
35,espera_carregamento,2025-12-13T11:10:12-03:00,2025-12-13T11:10:29-03:00,18,-11.698158,-47.155254,"-11.698,-47.155",1
35,espera_carregamento,2025-12-13T11:11:27-03:00,2025-12-13T11:11:49-03:00,24,-11.698392,-47.155440,"-11.698,-47.155",1
35,espera_carregamento,2025-12-13T11:11:52-03:00,2025-12-13T11:18:04-03:00,374,-11.698387,-47.155440,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:18:07-03:00,2025-12-13T11:18:20-03:00,15,-11.698379,-47.155440,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:18:23-03:00,2025-12-13T11:18:41-03:00,20,-11.698376,-47.155439,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:19:53-03:00,2025-12-13T11:20:09-03:00,17,-11.698248,-47.155011,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:21:13-03:00,2025-12-13T11:21:45-03:00,33,-11.698973,-47.155375,"-11.699,-47.155",1
,espera_carregamento,2025-12-13T11:22:33-03:00,2025-12-13T11:23:21-03:00,50,-11.699192,-47.155276,"-11.699,-47.155",1
